Body,Body Name,Name,Amount,Pay Date,Transaction Number,Description 1,Description 2
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,"5,069.60",22/03/2023,31048526,TPP - B&B payments to landlords,Interim Supported Housing
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,"7,124.60",22/03/2023,31048527,TPP - B&B payments to landlords,Interim Supported Housing
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,"1,015.00",22/03/2023,31048530,TPP - B&B payments to landlords,Interim Supported Housing
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,648.2,22/03/2023,31048531,TPP - B&B payments to landlords,Interim Supported Housing
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,"5,208.00",22/03/2023,31048532,TPP - B&B payments to landlords,Interim Supported Housing
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,508.2,28/03/2023,31048561,TPP - B&B payments to landlords,Families in Focus Team
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,601.3,23/03/2023,31048566,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,562.8,23/03/2023,31048571,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,629.3,23/03/2023,31048573,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,512.4,23/03/2023,31048577,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,648.2,23/03/2023,31048579,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,529.2,28/03/2023,31048598,TPP - B&B payments to landlords,Families in Focus Team
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,805,28/03/2023,31048643,TPP - B&B payments to landlords,Families in Focus Team
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,529.2,23/03/2023,31048663,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,443.8,23/03/2023,31048664,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,420,23/03/2023,31048669,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,512.4,23/03/2023,31048673,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,477.4,23/03/2023,31048674,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,601.3,23/03/2023,31048675,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,593.6,23/03/2023,31048677,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,648.2,23/03/2023,31048680,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,529.2,23/03/2023,31048707,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,632.8,23/03/2023,31048708,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,714.7,23/03/2023,31048709,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,648.2,23/03/2023,31048710,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,562.8,23/03/2023,31048711,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,529.2,23/03/2023,31048718,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,420,23/03/2023,31049419,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,512.4,23/03/2023,31049422,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,477.4,23/03/2023,31049423,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,601.3,23/03/2023,31049424,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,493.5,23/03/2023,31049425,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,593.6,23/03/2023,31049426,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,512.4,23/03/2023,31049428,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,648.2,23/03/2023,31049429,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,529.2,23/03/2023,31049431,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,529.2,23/03/2023,31049432,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,632.8,23/03/2023,31049433,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,714.7,23/03/2023,31049434,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,648.2,23/03/2023,31049436,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,562.8,23/03/2023,31049437,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,488,23/03/2023,31049438,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,601.3,23/03/2023,31049440,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,482.4,23/03/2023,31049444,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,629.3,23/03/2023,31049446,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,648.2,23/03/2023,31049451,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,529.2,23/03/2023,31049453,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,443.8,23/03/2023,31049454,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,529.2,28/03/2023,31049491,TPP - B&B payments to landlords,Families in Focus Team
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,819,28/03/2023,31049514,TPP - B&B payments to landlords,Families in Focus Team
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,529.2,28/03/2023,31049764,TPP - B&B payments to landlords,Families in Focus Team
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,529.2,28/03/2023,31050008,TPP - B&B payments to landlords,Families in Focus Team
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,819,28/03/2023,31050124,TPP - B&B payments to landlords,Families in Focus Team
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,562.8,28/03/2023,31050302,TPP - B&B payments to landlords,Families in Focus Team
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,562.8,28/03/2023,31050304,TPP - B&B payments to landlords,Families in Focus Team
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,"1,195.60",24/03/2023,31050461,TPP - B&B payments to landlords,Interim Supported Housing
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,562.8,28/03/2023,31050602,TPP - B&B payments to landlords,Families in Focus Team
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,601.3,30/03/2023,31050859,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,493.5,30/03/2023,31050860,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,593.6,30/03/2023,31050861,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,512.4,30/03/2023,31050864,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,516,30/03/2023,31050865,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,648.2,30/03/2023,31050866,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,529.2,30/03/2023,31051054,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,529.2,30/03/2023,31051071,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,632.8,30/03/2023,31051073,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,714.7,30/03/2023,31051074,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,562.8,30/03/2023,31051076,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,648.2,30/03/2023,31051081,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,562.8,30/03/2023,31051082,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,683.2,30/03/2023,31051083,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,601.3,30/03/2023,31051086,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,629.3,30/03/2023,31051096,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,633,30/03/2023,31051104,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,648.2,30/03/2023,31051105,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,529.2,30/03/2023,31051109,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,443.8,30/03/2023,31051113,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,420,30/03/2023,31051136,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,512.4,30/03/2023,31051143,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,477.4,30/03/2023,31051149,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,420,28/03/2023,31051172,TPP - B&B payments to landlords,Inner City and East - Mental Health - 18-64
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,"1,163.40",29/03/2023,31051366,TPP - B&B payments to landlords,Interim Supported Housing
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,"4,204.20",29/03/2023,31051368,TPP - B&B payments to landlords,Interim Supported Housing
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,581,29/03/2023,31051371,TPP - B&B payments to landlords,Interim Supported Housing
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,"1,068.20",29/03/2023,31051372,TPP - B&B payments to landlords,Interim Supported Housing
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,"1,195.60",29/03/2023,31051376,TPP - B&B payments to landlords,Interim Supported Housing
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,614.6,29/03/2023,31051378,TPP - B&B payments to landlords,Interim Supported Housing
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,"1,961.00",29/03/2023,31051380,TPP - B&B payments to landlords,Interim Supported Housing
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,"5,168.10",29/03/2023,31051383,TPP - B&B payments to landlords,Interim Supported Housing
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,"2,259.60",29/03/2023,31051384,TPP - B&B payments to landlords,Interim Supported Housing
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,"12,523.00",29/03/2023,31051387,TPP - B&B payments to landlords,Interim Supported Housing
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,"2,668.50",29/03/2023,31051389,TPP - B&B payments to landlords,Interim Supported Housing
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,"5,551.70",29/03/2023,31051393,TPP - B&B payments to landlords,Interim Supported Housing
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,"3,949.40",29/03/2023,31051395,TPP - B&B payments to landlords,Interim Supported Housing
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,"1,085.70",29/03/2023,31051397,TPP - B&B payments to landlords,Interim Supported Housing
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,"6,953.80",29/03/2023,31051399,TPP - B&B payments to landlords,Interim Supported Housing
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,420,28/03/2023,31051400,TPP - B&B payments to landlords,Inner City and East - Mental Health - 18-64
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,"2,262.40",29/03/2023,31051402,TPP - B&B payments to landlords,Interim Supported Housing
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,"1,947.40",29/03/2023,31051404,TPP - B&B payments to landlords,Interim Supported Housing
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,"2,632.70",29/03/2023,31051406,TPP - B&B payments to landlords,Interim Supported Housing
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,"7,085.10",29/03/2023,31051412,TPP - B&B payments to landlords,Interim Supported Housing
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,431,29/03/2023,31051414,TPP - B&B payments to landlords,Interim Supported Housing
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,"1,331.40",29/03/2023,31051416,TPP - B&B payments to landlords,Interim Supported Housing
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,"1,004.50",29/03/2023,31051417,TPP - B&B payments to landlords,Interim Supported Housing
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,"3,387.90",29/03/2023,31051429,TPP - B&B payments to landlords,Interim Supported Housing
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,"7,124.60",29/03/2023,31051432,TPP - B&B payments to landlords,Interim Supported Housing
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,"1,163.40",29/03/2023,31051433,TPP - B&B payments to landlords,Interim Supported Housing
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,"1,015.00",29/03/2023,31051434,TPP - B&B payments to landlords,Interim Supported Housing
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,648.2,29/03/2023,31051436,TPP - B&B payments to landlords,Interim Supported Housing
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,"4,781.00",29/03/2023,31051440,TPP - B&B payments to landlords,Interim Supported Housing
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,420,28/03/2023,31051451,TPP - B&B payments to landlords,Inner City and East - Mental Health - 18-64
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,"21,461.90",29/03/2023,31051454,TPP - B&B payments to landlords,Interim Supported Housing
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,529.2,28/03/2023,31051458,TPP - B&B payments to landlords,Families in Focus Team
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,529.2,28/03/2023,31051479,TPP - B&B payments to landlords,Families in Focus Team
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,819,28/03/2023,31051480,TPP - B&B payments to landlords,Families in Focus Team
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,"1,195.60",29/03/2023,31051497,TPP - B&B payments to landlords,Interim Supported Housing
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,562.8,28/03/2023,31051501,TPP - B&B payments to landlords,Families in Focus Team
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,477.6,28/03/2023,31051506,TPP - B&B payments to landlords,Families in Focus Team
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,"12,537.60",29/03/2023,31052808,TPP - B&B payments to landlords,Interim Supported Housing
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,420,30/03/2023,31052883,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,512.4,30/03/2023,31052888,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,477.4,30/03/2023,31052890,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,601.3,30/03/2023,31052892,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,493.5,30/03/2023,31052894,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,593.6,30/03/2023,31052896,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,512.4,30/03/2023,31052906,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,648.2,30/03/2023,31052908,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,529.2,30/03/2023,31052911,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,529.2,30/03/2023,31052913,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,632.8,30/03/2023,31052914,TPP ? Supported Accommodation,Asylum Seekers-Asylum & Immigration
